"   ","OWNER_CODE"
"1163","RWUU"
"1164","DODU"
"1165","JDNU"
"1166","IDPU"
"1167","MEKS"
"1168","CAMU"
"1169","BFKU"
"1170","CMUU"
"1171","PSKU"
"1172","JJXU"
"1173","SDEG"
"1174","TPLU"
"1175","ESTU"
"1176","EMCU"
"1177","WHSU"
"1178","POCU"
"1179","GCCU"
"1180","SVWU"
"1181","COIU"
"1182","CMBU"
"1183","SMSU"
"1184","AVSU"
"1185","DHDU"
"1186","BONU"
"1187","JJCU"
"1188","NOSU"
"1189","TAYO"
"1190","RPRU"
"1191","JKTU"
"1192","OFFU"
"1193","SMAU"
"1194","GCUU"
"1195","BESU"
"1196","FORU"
"1197","MGSS"
"1198","SOSC"
"1199","TTRU"
"1200","IEAU"
"1201","ZGXU"
"1202","1507"
"1203","SVSU"
"1204","6849"
"1205","ICLU"
"1206","RORU"
"1207","NISU"
"1208","BCKU"
"1209","SCOU"
"1210","TNSU"
"1211","CELU"
"1212","UAFU"
"1213","AOCU"
"1214","RERE"
"1215","NRCU"
"1216","KMCU"
"1217","CSNU"
"1218","MOGU"
"1219","TINU"
"1220","MWWU"
"1221","ZENU"
"1222","SSBU"
"1223","IESU"
"1224","PANU"
"1225","U567"
"1226","CLBU"
"1227","SZRU"
"1228","STJU"
"1229","2106"
"1230","PFDU"
"1231","SEYU"
"1232","SORU"
"1233","LLLU"
"1234","TRHU"
"1235","BMOU"
"1236","IPXU"
"1237","DGFU"
"1238","TNOU"
"1239","SWFU"
"1240","CRJU"
"1241","MXCU"
"1242","XRCU"
"1243","TITU"
"1244","ENRU"
"1245","YMMU"
"1246","MBJU"
"1247","ANSU"
"1248","NCLU"
"1249","SAMU"
"1250","XXXU"
"1251","DJDU"
"1252","CPLU"
"1253","QCSC"
"1254","MLNU"
"1255","SHEL"
"1256","LCGU"
"1257","KIGU"
"1258","PXLU"
"1259","TKCU"
"1260","ATRU"
"1261","DJCU"
"1262","ML65"
"1263","CXGU"
"1264","CIMU"
"1265","CCIU"
"1266","QCRC"
"1267","MCAU"
